appId,Device
com.wanderlog.ios,supports_iPhone
com.tripit.tripitmobile,supports_iPhone
app.tripsy.ios,supports_iPhone
com.roadtrippers.roadtrippersinc,supports_iPhone
co.tripscout.tripscout,supports_iPhone
com.visitacity.visitacityapp,supports_iPhone
com.tripadvisor.LocalPicks,supports_iPhone
com.travefy.travelplannersapp.tripplans,supports_iPhone
com.viator,supports_iPhone
com.rmitech.nowy,supports_iPhone
flamingo.com.uk.Flamingo,supports_iPhone
com.jeremieleroy.packr,supports_iPhone
com.pluto.travel,supports_iPhone
com.hopper.flights,supports_iPhone
net.skyscanner.iphone,supports_iPhone
com.HighHeels.Travelist,supports_iPhone
com.kayak.travel,supports_iPhone
com.booking.BookingApp,supports_iPhone
com.expedia.booking,supports_iPhone
com.outofoffice.ooomobile,supports_iPhone
com.wanderlog.ios,supports_iPad
com.tripit.tripitmobile,supports_iPad
app.tripsy.ios,supports_iPad
com.roadtrippers.roadtrippersinc,supports_iPad
co.tripscout.tripscout,supports_iPad
com.visitacity.visitacityapp,supports_iPad
com.tripadvisor.LocalPicks,supports_iPad
com.travefy.travelplannersapp.tripplans,supports_iPad
com.viator,supports_iPad
com.rmitech.nowy,supports_iPad
flamingo.com.uk.Flamingo,supports_iPad
com.jeremieleroy.packr,supports_iPad
com.pluto.travel,supports_iPad
com.hopper.flights,supports_iPad
net.skyscanner.iphone,supports_iPad
com.HighHeels.Travelist,supports_iPad
com.kayak.travel,supports_iPad
com.booking.BookingApp,supports_iPad
com.expedia.booking,supports_iPad
com.outofoffice.ooomobile,supports_iPad
app.tripsy.ios,supports_Mac
