appId,word,frequency
com.wanderlog.ios,used,10
com.wanderlog.ios,wanderlog,10
com.wanderlog.ios,weeks,1
com.wanderlog.ios,japan,2
com.wanderlog.ios,helpful,7
com.wanderlog.ios,map,8
com.wanderlog.ios,app,38
com.wanderlog.ios,tried.,1
com.wanderlog.ios,group,2
com.wanderlog.ios,places,16
com.wanderlog.ios,wanted,4
com.wanderlog.ios,go,3
com.wanderlog.ios,together,6
com.wanderlog.ios,distance,1
com.wanderlog.ios,make,8
com.wanderlog.ios,best,5
com.wanderlog.ios,use,11
com.wanderlog.ios,time.,1
com.wanderlog.ios,links,1
com.wanderlog.ios,descriptions,1
com.wanderlog.ios,websites,1
com.wanderlog.ios,could,5
com.wanderlog.ios,show,1
com.wanderlog.ios,japanese,1
com.wanderlog.ios,addresses,2
com.wanderlog.ios,non-english,1
com.wanderlog.ios,speaking,1
com.wanderlog.ios,taxi,1
com.wanderlog.ios,drivers,1
com.wanderlog.ios,perfect.,2
com.wanderlog.ios,definitely,6
com.wanderlog.ios,again.,1
com.wanderlog.ios,ive,8
com.wanderlog.ios,using,10
com.wanderlog.ios,since,3
com.wanderlog.ios,2021,1
com.wanderlog.ios,amazing,4
com.wanderlog.ios,way,6
com.wanderlog.ios,help,5
com.wanderlog.ios,plan,12
com.wanderlog.ios,trips!,2
com.wanderlog.ios,love,21
com.wanderlog.ios,feature,6
com.wanderlog.ios,makes,4
com.wanderlog.ios,planning,10
com.wanderlog.ios,travel,6
com.wanderlog.ios,actual,1
com.wanderlog.ios,much,7
com.wanderlog.ios,easier,5
com.wanderlog.ios,smoother,1
com.wanderlog.ios,ride.,1
com.wanderlog.ios,recommend,6
com.wanderlog.ios,type,3
com.wanderlog.ios,travelers!,2
com.wanderlog.ios,liked,1
com.wanderlog.ios,able,14
com.wanderlog.ios,see,5
com.wanderlog.ios,want,4
com.wanderlog.ios,visit,4
com.wanderlog.ios,"map,",2
com.wanderlog.ios,organize,3
com.wanderlog.ios,itinerary,10
com.wanderlog.ios,area.,1
com.wanderlog.ios,helped,4
com.wanderlog.ios,creating,2
com.wanderlog.ios,route,2
com.wanderlog.ios,trip,22
com.wanderlog.ios,japan.,1
com.wanderlog.ios,next,1
com.wanderlog.ios,trip.,4
com.wanderlog.ios,amazing.,1
com.wanderlog.ios,highly,4
com.wanderlog.ios,it.,10
com.wanderlog.ios,month,3
com.wanderlog.ios,says,3
com.wanderlog.ios,does.,2
com.wanderlog.ios,thing,2
com.wanderlog.ios,computer,1
com.wanderlog.ios,one,11
com.wanderlog.ios,question,2
com.wanderlog.ios,got,3
com.wanderlog.ios,quick,2
com.wanderlog.ios,detailed,1
com.wanderlog.ios,response,1
com.wanderlog.ios,developer,1
com.wanderlog.ios,(email,1
com.wanderlog.ios,section,1
com.wanderlog.ios,app).,1
com.wanderlog.ios,hoping,1
com.wanderlog.ios,would,10
com.wanderlog.ios,work,3
com.wanderlog.ios,road,1
com.wanderlog.ios,trips.,2
com.wanderlog.ios,things,6
com.wanderlog.ios,point,4
com.wanderlog.ios,back,3
com.wanderlog.ios,day,2
com.wanderlog.ios,on-the-go,1
com.wanderlog.ios,spain,1
com.wanderlog.ios,made,5
com.wanderlog.ios,(being,1
com.wanderlog.ios,visualize,1
com.wanderlog.ios,everything,9
com.wanderlog.ios,drag-and-drop,1
com.wanderlog.ios,different,3
