title,minInstalls,score,ratings,price,free,available,offersIAP,IAPRange,developer,genre,contentRating,adSupported,released,updated,preregister,earlyAccessEnabled,isAvailableInPlayPass,url,days_since_last_update,Travel & Local,Puzzle,Merge,Casual,Single player,Stylized,Simulation,Lifestyle,Cartoon,Offline,sentiment_category,app_age,rating_ratio,engagement_score,install_to_rating,update_frequency,app_age_category,rating_ratio_category,engagement_score_category,price_category,install_to_rating_category
World Travel Stories - Airport,10000000,3.7476635,42667,0,1,True,True,$1.99 - $4.49 per item,SUBARA,Educational,Everyone,True,2022-03-24,2023-09-08,False,False,False,https://play.google.com/store/apps/details?id=com.subara.stories.travels&hl=en&gl=us,204,0,0,0,1,1,1,1,1,1,1,Slightly positive,533.0,2.3039798910766653,0.015990155855449998,234.37316895961695,Rarely Updated,Mature,Good,Very Low Engagement,Free,Moderate Review Ratio
Visit A City,1000000,4.7404256,17650,0,1,True,True,$4.99 - $49.99 per item,Visit A City,Travel & Local,Everyone,False,2015-04-23,2024-01-16,False,False,False,https://play.google.com/store/apps/details?id=com.visitacity.visitacityapp&hl=en&gl=us,74,1,0,0,0,0,0,0,0,0,0,Positive,3190.0,31.919540229885058,0.08366851184,56.657223796033676,Recently Updated,Very Mature,Exceptional,Moderate Engagement,Free,High Review Ratio
Hotels.com: Travel Booking,10000000,4.7342696,526196,0,1,True,False,,Hotels.com LP,Travel & Local,Everyone,False,2011-04-13,2024-03-26,False,False,False,https://play.google.com/store/apps/details?id=com.hcom.android&hl=en&gl=us,4,1,0,0,0,0,0,0,0,0,0,Positive,4731.0,33.56878643704349,0.24911537264415998,19.0043253844575,Very Recent Updates,Very Mature,Exceptional,Very High Engagement,Free,High Review Ratio
GetYourGuide: Travel & Tickets,10000000,4.5202246,108610,0,1,True,False,,GetYourGuide,Travel & Local,Everyone,False,2013-10-09,2024-03-30,False,False,False,https://play.google.com/store/apps/details?id=com.getyourguide.android&hl=en&gl=us,0,1,0,0,0,0,0,0,0,0,0,Positive,3825.0,8.654289834174477,0.049094159380599994,92.07255317189937,Very Recent Updates,Very Mature,Great,Very Low Engagement,Free,High Review Ratio
"Klook: Travel, Hotels, Leisure",10000000,4.8244276,106911,0,1,True,False,,Klook Travel Technology Ltd.,Travel & Local,Everyone,False,2015-05-26,2024-03-22,False,False,False,https://play.google.com/store/apps/details?id=com.klook&hl=en&gl=us,8,1,0,0,0,0,0,0,0,0,0,Positive,3223.0,63.556930693069305,0.05157843791436,93.53574468483122,Very Recent Updates,Very Mature,Exceptional,Low Engagement,Free,High Review Ratio
Travelocity Hotels & Flights,5000000,4.602302,30208,0,1,True,False,,Travelocity.com,Travel & Local,Everyone,True,2011-06-30,2024-03-29,False,False,False,https://play.google.com/store/apps/details?id=com.travelocity.android&hl=en&gl=us,1,1,0,0,0,0,0,0,0,0,0,Positive,4656.0,15.761877504293073,0.0278052677632,165.51906779660962,Very Recent Updates,Very Mature,Exceptional,Very Low Engagement,Free,Moderate Review Ratio
"Trip.com: Book Flights, Hotels",10000000,4.5806174,313071,0,1,True,False,,Trip.com,Travel & Local,Everyone,False,2013-07-31,2024-03-29,False,False,False,https://play.google.com/store/apps/details?id=ctrip.english&hl=en&gl=us,1,1,0,0,0,0,0,0,0,0,0,Positive,3894.0,11.975832096671613,0.14340584700354,31.941636242258134,Very Recent Updates,Very Mature,Exceptional,High Engagement,Free,High Review Ratio
Agoda: Cheap Flights & Hotels,50000000,4.7403536,1804359,0,1,True,False,,agoda.com,Travel & Local,Everyone,False,2011-07-06,2024-03-28,False,False,False,https://play.google.com/store/apps/details?id=com.agoda.mobile.consumer&hl=en&gl=us,2,1,0,0,0,0,0,0,0,0,0,Positive,4649.0,33.60531814239533,0.17106599362684796,27.710671767647124,Very Recent Updates,Very Mature,Exceptional,High Engagement,Free,High Review Ratio
"momondo: Flights, Hotels, Cars",5000000,4.7876105,67883,0,1,True,False,,KAYAK.com,Travel & Local,Everyone,True,2011-12-09,2024-03-27,False,False,False,https://play.google.com/store/apps/details?id=com.momondo.flightsearch&hl=en&gl=us,3,1,0,0,0,0,0,0,0,0,0,Positive,4492.0,36.32220367278798,0.06499947271430001,73.65614365894248,Very Recent Updates,Very Mature,Exceptional,Moderate Engagement,Free,High Review Ratio
Hostelworld: Hostel Travel App,5000000,4.7893806,49745,0,1,True,False,,Hostelworld.com,Travel & Local,Everyone,False,2011-05-24,2024-03-25,False,False,False,https://play.google.com/store/apps/details?id=com.hostelworld.app&hl=en&gl=us,5,1,0,0,0,0,0,0,0,0,0,Positive,4689.0,36.38197097020626,0.0476495475894,100.5126143330986,Very Recent Updates,Very Mature,Exceptional,Very Low Engagement,Free,Moderate Review Ratio
Polarsteps - Travel Tracker,1000000,4.6764708,83899,0,1,True,False,,Polarsteps,Travel & Local,Teen,False,2016-09-28,2024-03-13,False,False,False,https://play.google.com/store/apps/details?id=com.polarsteps&hl=en&gl=us,17,1,0,0,0,0,0,0,0,0,0,Positive,2723.0,17.27614415211143,0.3923512236492,11.91909319538968,Very Recent Updates,Very Mature,Exceptional,Very High Engagement,Free,High Review Ratio
