appId,word,frequency
com.wanderlog.android,lot,11
com.wanderlog.android,turn,1
com.wanderlog.android,gmail,1
com.wanderlog.android,search,3
com.wanderlog.android,duplicates,1
com.wanderlog.android,products,1
com.wanderlog.android,way,9
com.wanderlog.android,collect,2
com.wanderlog.android,ideas,2
com.wanderlog.android,day,8
com.wanderlog.android,enjoy,2
com.wanderlog.android,function,5
com.wanderlog.android,see,10
com.wanderlog.android,chosen,1
com.wanderlog.android,attractions,2
com.wanderlog.android,located,1
com.wanderlog.android,lags,2
com.wanderlog.android,seen,1
com.wanderlog.android,much,13
com.wanderlog.android,lag,1
com.wanderlog.android,sadly,1
com.wanderlog.android,pretty,4
com.wanderlog.android,mobile,3
com.wanderlog.android,swapping,1
com.wanderlog.android,items,1
com.wanderlog.android,another,2
com.wanderlog.android,error,1
com.wanderlog.android,prone,1
com.wanderlog.android,cluttered,3
com.wanderlog.android,especially,7
com.wanderlog.android,multiple,7
com.wanderlog.android,sad,1
com.wanderlog.android,purchase,1
com.wanderlog.android,yearly,1
com.wanderlog.android,subscription,8
com.wanderlog.android,premium,1
com.wanderlog.android,features,14
com.wanderlog.android,monthly,1
com.wanderlog.android,subscriptions,2
com.wanderlog.android,sense,1
com.wanderlog.android,type,3
com.wanderlog.android,resource,1
com.wanderlog.android,new,5
com.wanderlog.android,shows,3
com.wanderlog.android,little,2
com.wanderlog.android,help,9
com.wanderlog.android,complete,2
com.wanderlog.android,without,5
com.wanderlog.android,thinking,2
com.wanderlog.android,missed,3
com.wanderlog.android,something,2
com.wanderlog.android,special,1
com.wanderlog.android,searched,1
com.wanderlog.android,found,5
com.wanderlog.android,travelling,1
com.wanderlog.android,stop,2
com.wanderlog.android,platform,1
com.wanderlog.android,put,1
com.wanderlog.android,together,2
com.wanderlog.android,flight,5
com.wanderlog.android,lodging,2
com.wanderlog.android,bonus,1
com.wanderlog.android,stuff,3
com.wanderlog.android,create,1
com.wanderlog.android,notes,5
com.wanderlog.android,share,2
com.wanderlog.android,co,1
com.wanderlog.android,creaters,1
com.wanderlog.android,best,9
com.wanderlog.android,routes,1
com.wanderlog.android,go,7
com.wanderlog.android,dine,1
com.wanderlog.android,play,2
com.wanderlog.android,thank,3
com.wanderlog.android,team,2
com.wanderlog.android,creating,3
com.wanderlog.android,awesome,6
com.wanderlog.android,premise,1
com.wanderlog.android,lately,1
com.wanderlog.android,extremely,2
com.wanderlog.android,glitchy,1
com.wanderlog.android,example,1
com.wanderlog.android,button,1
com.wanderlog.android,work,3
